Ni,Ti,Al,Ni3Ti
19.0,5.0,7.0,22.94082578511125
20.0,5.0,7.0,22.226921043779136
15.0,6.0,7.0,18.01170087139075
16.0,6.0,7.0,19.10219196312333
17.0,6.0,7.0,20.192050030941612
18.0,6.0,7.0,21.28327860765543
19.0,6.0,7.0,22.373484647120687
20.0,6.0,7.0,23.46270840552924
15.0,7.0,7.0,15.340523680411552
16.0,7.0,7.0,16.430809409564873
17.0,7.0,7.0,17.521306461640645
18.0,7.0,7.0,18.611563038573696
19.0,7.0,7.0,19.701611160838294
20.0,7.0,7.0,20.791836750434328
15.0,8.0,7.0,12.669333813342314
16.0,8.0,7.0,13.759653928897556
17.0,8.0,7.0,14.849938118811881
18.0,8.0,7.0,15.940404212219148
19.0,8.0,7.0,17.030665553803825
20.0,8.0,7.0,18.121073661158285
15.0,9.0,7.0,9.998197195767093
16.0,9.0,7.0,11.08848388084341
17.0,9.0,7.0,12.178763375780758
18.0,9.0,7.0,13.269035690225262
19.0,9.0,7.0,14.359466551080907
20.0,9.0,7.0,15.44972235062928
15.0,10.0,7.0,7.326951041701046
16.0,10.0,7.0,8.417216345398126
17.0,10.0,7.0,9.507654229029432
18.0,10.0,7.0,10.59791143977261
19.0,10.0,7.0,11.688336857282948
20.0,10.0,7.0,12.778561244730968
15.0,11.0,7.0,4.655811403082357
16.0,11.0,7.0,5.746038471480688
17.0,11.0,7.0,6.8364478446442
18.0,11.0,7.0,7.926659947841723
