Ni,Ti,Al,T_Ni3Ti
18.0,5.0,7.0,654.15
19.0,5.0,7.0,664.15
20.0,5.0,7.0,674.15
15.0,6.0,7.0,591.15
16.0,6.0,7.0,605.15
17.0,6.0,7.0,618.15
18.0,6.0,7.0,630.15
19.0,6.0,7.0,642.15
20.0,6.0,7.0,653.15
15.0,7.0,7.0,557.15
16.0,7.0,7.0,573.15
17.0,7.0,7.0,588.15
18.0,7.0,7.0,602.15
19.0,7.0,7.0,616.15
20.0,7.0,7.0,628.15
15.0,8.0,7.0,520.15
16.0,8.0,7.0,537.15
17.0,8.0,7.0,554.15
18.0,8.0,7.0,571.15
19.0,8.0,7.0,586.15
20.0,8.0,7.0,600.15
15.0,9.0,7.0,477.15
16.0,9.0,7.0,497.15
17.0,9.0,7.0,516.15
18.0,9.0,7.0,534.15
19.0,9.0,7.0,551.15
20.0,9.0,7.0,568.15
15.0,10.0,7.0,429.15
16.0,10.0,7.0,451.15
17.0,10.0,7.0,472.15
18.0,10.0,7.0,492.15
19.0,10.0,7.0,512.15
20.0,10.0,7.0,530.15
15.0,11.0,7.0,377.15
16.0,11.0,7.0,400.15
17.0,11.0,7.0,423.15
18.0,11.0,7.0,445.15
19.0,11.0,7.0,467.15
20.0,11.0,7.0,487.15
15.0,12.0,7.0,320.15
16.0,12.0,7.0,344.15
17.0,12.0,7.0,368.15
18.0,12.0,7.0,392.15
19.0,12.0,7.0,416.15
20.0,12.0,7.0,439.15
17.0,13.0,7.0,309.15
18.0,13.0,7.0,334.15
19.0,13.0,7.0,359.15
20.0,13.0,7.0,384.15
16.0,14.0,7.0,1473.15
19.0,14.0,7.0,298.15
20.0,14.0,7.0,324.15
15.0,15.0,7.0,1473.15
16.0,15.0,7.0,1473.15
15.0,1.0,8.0,387.15
16.0,1.0,8.0,381.15
17.0,1.0,8.0,377.15
18.0,1.0,8.0,374.15
19.0,1.0,8.0,373.15
20.0,1.0,8.0,373.15
15.0,2.0,8.0,600.15
16.0,2.0,8.0,612.15
17.0,2.0,8.0,623.15
18.0,2.0,8.0,634.341
19.0,2.0,8.0,629.15
20.0,2.0,8.0,624.15
15.0,3.0,8.0,572.15
16.0,3.0,8.0,585.15
17.0,3.0,8.0,598.15
18.0,3.0,8.0,610.15
19.0,3.0,8.0,621.15
20.0,3.0,8.0,632.15
15.0,4.0,8.0,540.15
16.0,4.0,8.0,555.15
17.0,4.0,8.0,569.15
18.0,4.0,8.0,583.15
19.0,4.0,8.0,596.15
20.0,4.0,8.0,608.15
15.0,5.0,8.0,505.15
16.0,5.0,8.0,521.15
17.0,5.0,8.0,537.15
18.0,5.0,8.0,552.15
19.0,5.0,8.0,567.15
20.0,5.0,8.0,581.15
15.0,6.0,8.0,466.15
16.0,6.0,8.0,484.15
17.0,6.0,8.0,501.15
18.0,6.0,8.0,518.15
19.0,6.0,8.0,534.15
20.0,6.0,8.0,550.15
15.0,7.0,8.0,422.15
16.0,7.0,8.0,442.15
17.0,7.0,8.0,461.15
18.0,7.0,8.0,479.15
19.0,7.0,8.0,497.15
20.0,7.0,8.0,514.15
15.0,8.0,8.0,375.15
16.0,8.0,8.0,396.15
17.0,8.0,8.0,416.15
18.0,8.0,8.0,436.15
19.0,8.0,8.0,456.15
20.0,8.0,8.0,475.15
15.0,9.0,8.0,324.15
16.0,9.0,8.0,346.15
17.0,9.0,8.0,368.15
18.0,9.0,8.0,389.15
19.0,9.0,8.0,410.15
20.0,9.0,8.0,430.15
17.0,10.0,8.0,315.15
18.0,10.0,8.0,337.15
19.0,10.0,8.0,359.15
